date,open,high,low,close,volume,Name
2017-04-20,47.82,48.26,47.58,47.69,6425037,HAL
2017-04-21,47.15,47.66,46.78,47.06,13268858,HAL
2017-04-24,47.22,47.98,46.63,46.75,11843609,HAL
2017-04-25,46.88,47.22,46.71,47.02,8032493,HAL
2017-04-26,46.65,47.55,46.6,46.99,7921853,HAL
2017-04-27,46.6,46.82,45.1,46.4,12907572,HAL
2017-04-28,47.34,47.38,45.83,45.88,7352408,HAL
2017-05-01,45.94,46.118,45.555,45.77,4640669,HAL
2017-05-02,45.82,46.07,45.085,45.3,7739714,HAL
2017-05-03,45.12,45.55,44.91,45.25,7261334,HAL
2017-05-04,44.7,44.79,43.7,44.6,13768684,HAL
2017-05-05,44.6,45.71,44.535,45.58,11907085,HAL
2017-05-08,45.66,45.925,45.28,45.36,8283086,HAL
2017-05-09,45.37,45.5047,44.8,45.03,8453867,HAL
2017-05-10,45.49,46.33,45.43,45.81,10051454,HAL
2017-05-11,46.37,46.37,45.56,45.61,7942140,HAL
2017-05-12,45.72,45.72,44.97,45.14,8969334,HAL
2017-05-15,46.2,47.11,45.97,46.51,12600730,HAL
2017-05-16,46.89,46.92,46.21,46.78,8862660,HAL
2017-05-17,46.53,47.11,46.215,46.34,8064530,HAL
2017-05-18,46.05,46.87,45.67,46.58,9072318,HAL
2017-05-19,47.29,48.035,47.04,47.78,13304604,HAL
2017-05-22,47.97,48.18,46.8627,47.12,9495468,HAL
2017-05-23,47.06,47.86,46.68,47.6,11837502,HAL
2017-05-24,47.58,48.12,47.32,47.71,10366026,HAL
2017-05-25,47.59,48.3223,45.0,45.41,18438742,HAL
2017-05-26,45.43,46.04,45.25,45.76,9938793,HAL
2017-05-30,45.36,45.43,44.95,45.15,8476193,HAL
2017-05-31,44.66,45.59,44.27,45.19,9938243,HAL
2017-06-01,45.3,45.88,44.82,45.49,9067163,HAL
2017-06-02,45.09,45.5,44.62,45.3,9598250,HAL
2017-06-05,44.77,45.54,44.77,45.32,5920049,HAL
2017-06-06,45.29,46.22,44.975,46.0,9345497,HAL
2017-06-07,45.71,46.01,44.01,44.4,16379281,HAL
2017-06-08,44.0,44.6,43.905,44.13,10363849,HAL
2017-06-09,44.23,45.26,44.18,44.85,11389377,HAL
2017-06-12,45.39,45.63,44.675,44.92,9591583,HAL
2017-06-13,44.98,46.1776,44.8,45.84,12214166,HAL
2017-06-14,45.69,45.69,44.19,44.83,13733054,HAL
2017-06-15,44.4,44.71,43.86,44.08,8839788,HAL
2017-06-16,44.38,44.38,43.73,44.27,10776828,HAL
2017-06-19,44.3,44.42,43.62,43.97,8613823,HAL
2017-06-20,43.29,43.565,42.44,43.4,11237583,HAL
2017-06-21,43.15,43.21,41.95,42.23,18500659,HAL
2017-06-22,42.25,42.56,41.9,41.9,11881201,HAL
2017-06-23,41.9,42.02,41.3636,41.5,19487568,HAL
2017-06-26,41.84,42.0,41.48,41.7,5517149,HAL
2017-06-27,41.83,42.3,41.47,41.53,7244070,HAL
2017-06-28,41.6,42.41,41.54,42.01,8331781,HAL
2017-06-29,42.2,42.97,42.13,42.42,7879788,HAL
2017-06-30,42.8,43.06,42.3,42.71,7160773,HAL
2017-07-03,42.94,44.01,42.73,43.72,5754768,HAL
2017-07-05,44.07,44.07,42.53,42.86,9475855,HAL
2017-07-06,43.1,43.42,41.86,42.02,9338625,HAL
2017-07-07,41.85,41.94,41.03,41.78,10193165,HAL
2017-07-10,41.51,42.51,41.43,42.32,6132124,HAL
2017-07-11,42.35,43.17,42.19,42.71,5400893,HAL
2017-07-12,43.51,43.68,42.6,42.78,5692252,HAL
2017-07-13,42.7,43.85,42.67,43.77,8674818,HAL
2017-07-14,43.9,44.415,43.81,44.22,7946901,HAL
2017-07-17,44.15,44.52,44.0,44.11,6880522,HAL
2017-07-18,44.41,44.41,43.655,44.0,8182316,HAL
2017-07-19,43.97,45.82,43.92,45.58,12052226,HAL
2017-07-20,45.89,46.06,45.06,45.38,10591737,HAL
2017-07-21,45.36,45.61,44.12,44.38,11819179,HAL
2017-07-24,45.05,45.2999,42.02,42.51,22394865,HAL
2017-07-25,42.89,43.705,42.68,42.69,13843568,HAL
2017-07-26,43.04,43.77,42.32,43.32,11246818,HAL
2017-07-27,43.5,44.39,42.54,43.09,10452311,HAL
2017-07-28,42.77,44.0,42.7099,42.93,8895558,HAL
2017-07-31,42.82,42.9,42.16,42.44,8185424,HAL
2017-08-01,42.5,42.565,41.68,42.45,14301533,HAL
2017-08-02,42.13,42.95,41.81,42.85,9983325,HAL
2017-08-03,42.77,42.85,41.76,42.03,7944770,HAL
2017-08-04,42.0,42.11,41.55,41.99,6534104,HAL
2017-08-07,41.77,41.86,41.0837,41.45,7546654,HAL
2017-08-08,41.2,41.83,40.71,41.03,9244666,HAL
2017-08-09,41.18,41.38,40.75,41.29,6396729,HAL
2017-08-10,41.32,41.33,40.36,40.51,6988607,HAL
2017-08-11,40.3,40.74,40.0,40.02,5519611,HAL
2017-08-14,40.05,40.2,39.75,39.91,7282298,HAL
2017-08-15,39.83,39.9,39.25,39.55,7691316,HAL
2017-08-16,39.69,39.96,39.13,39.32,6662680,HAL
2017-08-17,39.2,39.36,38.55,38.69,8145354,HAL
2017-08-18,38.66,39.45,38.181,38.99,8868248,HAL
2017-08-21,38.93,38.99,38.55,38.74,5084521,HAL
2017-08-22,38.86,39.03,38.65,38.66,6032763,HAL
2017-08-23,38.56,39.28,38.52,39.03,4623469,HAL
2017-08-24,38.97,39.0,38.565,38.79,7345872,HAL
2017-08-25,38.93,39.3709,38.84,39.01,6167208,HAL
2017-08-28,39.07,39.18,38.28,38.79,7348340,HAL
2017-08-29,38.66,38.79,38.34,38.72,5120540,HAL
2017-08-30,38.61,39.041,38.38,38.67,4481885,HAL
2017-08-31,38.9,39.15,38.6,38.97,7303673,HAL
2017-09-01,38.99,39.3,38.81,38.9,5199470,HAL
2017-09-05,39.28,40.16,39.25,39.83,16731549,HAL
2017-09-06,40.22,41.19,40.18,41.01,14240562,HAL
2017-09-07,41.0,41.42,40.68,41.31,8303663,HAL
2017-09-08,41.24,41.26,39.86,40.29,9178227,HAL
2017-09-11,40.43,40.77,40.19,40.63,10529778,HAL
2017-09-12,40.67,41.51,40.46,41.26,6736876,HAL
2017-09-13,41.36,42.245,41.26,41.8,10385095,HAL
2017-09-14,45.64,46.67,45.56,45.87,8005280,HAL
2017-09-15,42.09,42.34,41.86,42.31,8173031,HAL
2017-09-18,42.4,42.91,42.105,42.62,6479032,HAL
2017-09-19,42.82,42.925,42.3699,42.81,7023888,HAL
2017-09-20,42.9,43.78,42.86,43.61,12057125,HAL
2017-09-21,43.5,43.7,43.11,43.48,9634317,HAL
2017-09-22,43.48,44.32,43.47,44.25,9209116,HAL
2017-09-25,44.51,45.11,44.4,44.69,11540118,HAL
2017-09-26,44.5,44.87,44.24,44.64,6066963,HAL
2017-09-27,44.74,45.72,44.54,45.58,11317004,HAL
2017-09-28,45.7,46.08,45.55,45.83,12198121,HAL
2017-09-29,45.61,46.18,45.49,46.03,6683345,HAL
2017-10-02,45.23,45.73,45.02,45.53,7408862,HAL
2017-10-03,45.42,45.51,44.785,44.93,8635491,HAL
2017-10-04,45.05,45.42,44.84,45.18,7061099,HAL
2017-10-05,45.36,45.39,44.94,45.09,5485834,HAL
2017-10-06,44.86,45.05,44.23,44.75,11162207,HAL
2017-10-09,44.76,45.19,44.73,44.93,3709065,HAL
2017-10-10,45.34,45.87,44.98,45.03,6521962,HAL
2017-10-11,44.93,45.52,44.71,45.51,5749518,HAL
2017-10-12,45.02,45.2,44.69,44.76,5783495,HAL
2017-10-13,45.21,45.36,44.67,44.72,4730045,HAL
2017-10-16,44.98,45.17,44.58,44.61,4114196,HAL
2017-10-17,44.6,44.66,44.145,44.46,7556586,HAL
2017-10-18,44.48,44.8,43.59,43.77,7481729,HAL
2017-10-19,43.55,43.82,43.08,43.42,9024572,HAL
2017-10-20,43.56,43.7,43.01,43.33,10522555,HAL
2017-10-23,42.51,43.61,42.15,42.24,12842922,HAL
2017-10-24,42.43,42.65,41.28,41.37,14280545,HAL
2017-10-25,41.4,41.74,41.0,41.48,7799852,HAL
2017-10-26,41.53,41.91,40.96,41.24,8211259,HAL
2017-10-27,41.04,42.58,40.99,42.43,12555732,HAL
2017-10-30,42.49,43.07,42.15,42.93,7615647,HAL
2017-10-31,42.8,42.97,42.42,42.74,6243398,HAL
2017-11-01,43.15,43.93,43.03,43.05,7257574,HAL
2017-11-02,43.16,43.52,42.29,42.69,6218183,HAL
2017-11-03,42.55,43.48,42.53,43.23,9575044,HAL
2017-11-06,43.39,45.305,43.32,45.08,10277403,HAL
2017-11-07,45.34,45.9299,45.05,45.27,9507093,HAL
2017-11-08,45.02,45.6012,44.67,45.12,6728855,HAL
2017-11-09,44.9,45.13,44.5647,45.01,5749482,HAL
2017-11-10,44.9,45.02,44.39,44.58,4565226,HAL
2017-11-13,44.29,44.49,43.98,44.21,5350462,HAL
2017-11-14,43.96,44.14,42.84,42.94,7938412,HAL
2017-11-15,42.48,42.69,41.51,41.69,10470451,HAL
2017-11-16,41.57,41.92,41.415,41.51,5721218,HAL
2017-11-17,41.65,41.98,41.31,41.77,5902502,HAL
2017-11-20,41.76,41.88,41.36,41.57,5806082,HAL
2017-11-21,41.87,41.93,40.98,41.17,11601638,HAL
2017-11-22,41.52,41.6,41.3,41.43,4915973,HAL
2017-11-24,41.66,41.905,41.46,41.58,3352660,HAL
2017-11-27,41.35,41.65,40.89,41.07,5376413,HAL
2017-11-28,41.02,41.17,40.72,41.02,8102814,HAL
2017-11-29,41.07,41.57,40.86,41.3,7383593,HAL
2017-11-30,41.48,42.24,41.36,41.78,13390356,HAL
2017-12-01,41.87,43.57,41.85,43.06,18066381,HAL
2017-12-04,43.16,45.21,43.06,43.89,13897200,HAL
2017-12-05,44.02,44.35,43.55,43.63,8993046,HAL
2017-12-06,43.37,43.555,42.71,43.38,8807665,HAL
2017-12-07,43.38,43.86,43.17,43.46,6269352,HAL
2017-12-08,43.78,44.26,43.63,43.99,8178176,HAL
2017-12-11,44.08,45.2499,44.05,45.16,11262885,HAL
2017-12-12,45.33,45.8,44.995,45.24,9823464,HAL
2017-12-13,45.2,45.4,44.49,44.76,7717137,HAL
2017-12-14,44.3,44.9,44.11,44.41,7172883,HAL
2017-12-15,44.78,45.04,44.51,44.61,9721631,HAL
2017-12-18,44.76,45.845,44.72,45.48,7610774,HAL
2017-12-19,45.64,46.67,45.56,45.87,8005305,HAL
2017-12-20,46.215,47.61,46.09,47.42,9148939,HAL
2017-12-21,47.6,48.7,47.2,48.17,10710621,HAL
2017-12-22,48.32,48.36,47.6876,48.01,6767823,HAL
2017-12-26,48.13,48.94,47.915,48.77,4983913,HAL
2017-12-27,48.92,49.29,48.515,48.82,5409897,HAL
2017-12-28,48.85,48.91,48.4,48.57,3884245,HAL
2017-12-29,48.68,49.06,48.13,48.87,5194819,HAL
2018-01-02,48.92,49.84,48.72,49.61,7269233,HAL
2018-01-03,49.8,51.08,49.52,50.5,11181926,HAL
2018-01-04,50.86,51.775,50.23,51.63,10142711,HAL
2018-01-05,51.46,51.9,50.95,51.82,8617344,HAL
2018-01-08,51.66,52.36,51.4,52.29,7611860,HAL
2018-01-09,52.43,52.66,51.6,52.11,8587371,HAL
2018-01-10,52.1,52.59,51.66,52.47,9714221,HAL
2018-01-11,52.57,53.69,52.22,53.33,9086720,HAL
2018-01-12,53.18,53.52,52.68,53.14,9026830,HAL
2018-01-16,53.03,53.21,51.9001,52.13,10231608,HAL
2018-01-17,52.48,53.33,52.1,52.85,8479932,HAL
2018-01-18,52.63,53.07,52.2106,52.36,8387985,HAL
2018-01-19,52.02,53.18,51.42,53.01,10387970,HAL
2018-01-22,54.02,56.445,53.64,56.4,17802754,HAL
2018-01-23,56.63,57.86,56.47,56.83,13756767,HAL
2018-01-24,56.73,56.84,55.32,55.34,12321206,HAL
